ID,Maker,Genmodel,Genmodel_ID,Adv_year,Adv_month,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,issue_id,Adv_day,breakdown_date,repair_complexity,repair_cost,repair_hours,repair_date,value
29455,Ford,Kuga,29_25,2018,4,Green,2015.0,SUV,34000,2.0L,Automatic,Diesel,17290.0,5.0,5.0,Starter Motor Issue,0,15,2018-04-15,1,232.9,3.0,2018-04-15,1.642.378.470.696.410
41446,Fiat,500,28_2,2018,8,White,2009.0,Hatchback,65000,1.2L,Manual,Petrol,3980.0,4.0,3.0,Warning Light,0,6,2018-08-06,1,219.8,9.0,2018-08-08,37.845.246.778.099.500
42116,Fiat,500,28_2,2018,4,Black,2012.0,Hatchback,54491,1.2L,Manual,Petrol,4495.0,4.0,3.0,Flat Tyres,0,24,2018-04-24,1,213.485,1.0,2018-04-24,4.272.171.246.361.210
32619,Citroen,DS4,21_3,2018,7,Silver,2011.0,Hatchback,98000,1.6L,Manual,still_Diesel_but_you_found_an_easteregg,4795.0,5.0,5.0,Starter Motor Issue,0,12,2018-07-12,2,167.95,6.0,2018-07-13,4.552.297.593.381.430
51078,Abarth,595,2_4,2018,6,Red,2014.0,Hatchback,49583,1.4L,Automatic,Petrol,11000.0,4.0,3.0,Brake Pads Worn,0,20,2018-06-20,2,85.5,4.0,2018-06-21,10.447.615.695.231.500
43520,Fiat,Tipo,28_28,2018,8,White,2016.0,Estate,7000,1.4L,Manual,Petrol,10490.0,5.0,5.0,Excessive Emissions,0,6,2018-08-06,1,29.441,1.0,2018-08-06,9.961.343.187.774.720
21449,Dacia,Sandero,22_3,2018,5,Brown,2016.0,Hatchback,3850,0.9L,Manual,Petrol,7000.0,5.0,5.0,Flat Tyres,0,6,2018-05-06,1,22.1,1.0,2018-05-06,6.654.220.749.045.790
34409,Ford,C-Max,29_2,2018,4,Brown,2016.0,MPV,7425,1.5L,Manual,Diesel,12395.0,5.0,5.0,Excessive Emissions,0,5,2018-04-05,1,311.555,1.0,2018-04-05,11.773.654.533.178.500
23008,Ford,C-Max,29_2,2018,8,Black,2007.0,MPV,67636,1.8L,Manual,Petrol,1990.0,5.0,5.0,Radiator Leaking,0,16,2018-08-16,1,7.980.000.000.000.000,2.0,2018-08-16,18.888.517.671.281.900
12290,Ford,Focus,29_14,2018,7,White,2017.0,Hatchback,19541,1.0L,Manual,Petrol,11300.0,5.0,5.0,Tyre Alignment,0,22,2018-07-22,1,11.13,0.5,2018-07-22,10.744.440.864.593.500
30465,Ford,Focus,29_14,2018,5,Gelb,2012.0,Hatchback,68880,1.0L,Manual,Petrol,5999.0,5.0,5.0,Excessive Emissions,0,2,2018-05-02,1,253.991,1.0,2018-05-02,5.694.708.291.981.470
48061,Ford,Ka,29_23,2018,8,Silver,2015.0,Hatchback,28000,1.2L,Manual,Petrol,5495.0,4.0,3.0,Engine Issue,2,13,2018-08-13,1,1144.25,16.0,2018-08-17,5.225.506.869.688.230
43647,Ford,C-Max,29_2,2018,3,Black,2017.0,MPV,1,1.0L,Manual,Petrol,12145.0,5.0,5.0,Tyre Alignment,0,26,2018-03-26,1,11.2145,0.5,2018-03-26,11.529.800.347.499.200
36260,Citroen,C4 Picasso,18_14,2018,7,White,2017.0,MPV,17905,1.6L,Automatic,Diesel,15000.0,5.0,5.0,Radiator Leaking,0,5,2018-07-05,2,380.0,4.0,2018-07-06,14.247.699.967.012.500
28289,Ford,Streetka,29_32,2018,1,Blue,2004.0,Convertible,67000,1.6L,Manual,Petrol,1495.0,2.0,2.0,Starter Motor Issue,0,24,2018-01-24,1,74.95,3.0,2018-01-24,14.176.795.747.611.400
3426,Dacia,Duster,22_1,2017,7,White,2017.0,SUV,10,1.5L,Manual,still_Diesel_but_you_found_an_easteregg,11250.0,5.0,5.0,Radiator Leaking,0,10,2017-07-10,1,265.0,2.0,2017-07-10,10.686.340.262.119.100
43426,Ford,S-Max,29_31,2018,8,Blue,2016.0,MPV,12551,2.0L,Manual,Diesel,21995.0,7.0,5.0,Sensor Malfunction,0,16,2018-08-16,1,1159.75,3.0,2018-08-16,208.920.496.581.484
2388,Ford,Kuga,29_25,2018,7,White,2015.0,SUV,48039,2.0L,Manual,Diesel,12898.0,5.0,5.0,Brake Pads Worn,0,6,2018-07-06,1,46.449,2.0,2018-07-06,12.256.420.963.140.400
35162,Citroen,C4 Cactus,18_13,2018,5,Black,2016.0,Hatchback,18725,1.2L,Manual,Petrol,9995.0,5.0,5.0,Engine Issue,3,25,2018-05-25,2,1479.5,24.0,2018-05-31,9.486.538.297.200.360
24619,Fiat,500,28_2,2018,8,Blue,2008.0,Hatchback,63000,1.2L,Manual,Petrol,2980.0,4.0,3.0,Alternator Failing,0,3,2018-08-03,1,99.6,2.0,2018-08-03,2.829.423.262.383.600
24155,Abarth,595,2_4,2018,8,Blue,2017.0,Hatchback,3500,1.4L,Manual,Petrol,12000.0,2.0,3.0,Engine Issue,2,2,2018-08-02,2,2440.0,32.0,2018-08-10,1.140.895.512.468.210
17269,Ford,Fiesta,29_13,2018,7,Red,2006.0,Hatchback,89000,1.4L,Manual,Petrol,1865.0,5.0,5.0,Starter Motor Issue,0,1,2018-07-01,1,78.65,3.0,2018-07-01,1.770.091.704.050.660
31251,Citroen,DS3,21_1,2018,4,Grey,2011.0,Hatchback,48067,1.6L,Manual,Petrol,6000.0,5.0,3.0,Steering Wheel Shaking,0,16,2018-04-16,2,46.0,2.0,2018-04-16,5.699.150.709.409.330
5699,Ford,Mondeo,29_27,2018,6,Silver,2008.0,Estate,103000,2.0L,Manual,Diesel,2295.0,5.0,5.0,Electrical Issue,5,10,2018-06-10,1,62.295,3.0,2018-06-10,21.759.335.331.472.000
39740,Ford,Fiesta,29_13,2018,4,Silver,2003.0,Hatchback,82000,1.4L,Manual,Petrol,1395.0,5.0,5.0,Transmission Issue,1,2,2018-04-02,1,84.185,4.0,2018-04-03,13.283.001.575.327.400
